tdate	ttime	sensorVAC	sensorVBat	sensorIBat	sensorILoad	modemType	sensorModem0	sensorModem1	sensorModem2	sensorModem3	sensorBUC	sensorSCPC	sensorSCADA	sensorTemp	sendStatus
2015-12-04	16:22:14	255.83	50.42	-0.52	0.15	Hughes HX-50	6.6	13.56	19.58	24.1	50.27	50.24	11.95	25	1
2015-12-04	16:24:04	255.83	50.42	-0.52	0.15	Hughes HX-50	6.6	13.56	19.58	24.1	50.27	50.24	11.95	25	1
2015-12-04	16:26:04	255.83	50.42	-0.52	0.15	Hughes HX-50	6.6	13.56	19.58	24.1	50.27	50.24	11.95	25	1
2015-12-04	16:28:03	255.83	50.42	-0.52	0.15	Hughes HX-50	6.6	13.56	19.58	24.1	50.21	50.24	11.95	25	1
2015-12-04	16:30:14	256.36	50.42	-0.52	0.15	Hughes HX-50	6.6	13.56	19.58	24.1	50.21	50.24	11.95	25	1
2015-12-04	16:32:04	256.36	50.42	-0.52	0.15	Hughes HX-50	6.6	13.56	19.58	24.13	50.21	50.18	11.95	25	1
2015-12-04	16:34:04	256.36	50.18	-0.52	0.15	Hughes HX-50	6.6	13.56	19.58	24.13	50.21	50.18	11.95	25	1
2015-12-04	16:36:04	256.36	50.18	-0.52	0.15	Hughes HX-50	6.6	13.56	19.58	24.1	50.21	50.18	11.95	25	1
2015-12-04	16:38:09	256.89	50.18	-0.52	0.15	Hughes HX-50	6.6	13.56	19.58	24.1	50.21	50.18	11.95	25	1
2015-12-04	16:40:04	256.36	50.18	-0.52	0.15	Hughes HX-50	6.6	13.56	19.58	24.1	50.21	50.18	11.95	25	1
